7,4,1,65,1463,8.7,18.7,0.468,0.2,0.9,0.2,8.6,17.8,0.481,3.4,4.6,0.743,1,3.4,4.4,3.1,1.2,0.2,1.8,3.6,21.1
7,5,1,54,898,5.7,13.1,0.439,0.7,1.6,0.439,5,11.4,0.439,3.6,5.1,0.722,1.3,2.5,3.8,2.9,0.8,0.1,2.1,3.5,15.8
7,6,1,55,1238,4.7,11,0.427,1.6,3.7,0.422,3.1,7.2,0.43,2.8,3.4,0.831,1.3,3,4.3,2.5,0.8,0.1,1.7,2.4,13.8
7,7,1,42,547,4.9,11.5,0.429,1.1,3,0.348,3.9,8.5,0.457,3.4,3.9,0.881,1.6,3.3,4.9,1.1,1.1,0,1.9,2.8,14.3
8,1,1,8,50,4.3,20.2,0.214,-1,-1,-1,4.3,20.2,0.214,2.2,2.9,0.75,-1,-1,5.8,2.9,-1,-1,-1,3.6,10.8
9,1,1,81,1528,3.4,8.3,0.414,0,0,0,3.4,8.3,0.415,1.4,2.1,0.656,2,8.9,10.9,2.6,0.6,6.5,3.3,6.1,8.3
9,2,1,82,2139,3.3,7,0.466,0,0,0,3.3,7,0.467,1.2,2.1,0.593,2.5,7.5,10,1.9,0.4,5.9,1.6,5.1,7.8
9,3,1,82,2813,3.9,8.6,0.449,0,0,-1,3.9,8.6,0.449,2.4,3.4,0.712,2.6,9.2,11.9,1.6,0.5,5.8,2.6,4,10.2
9,4,1,80,2551,3.9,8.3,0.47,0,0,-1,3.9,8.3,0.47,1.7,2.9,0.604,2.4,7.1,9.5,1.4,0.5,5.2,2.2,4,9.5
9,5,1,79,2505,3.4,8.4,0.4,0,0,-1,3.4,8.4,0.4,2,3.1,0.657,3,7,10,1.5,0.6,4.6,2,3.9,8.7
9,6,1,82,2731,3,7.1,0.418,0,0,-1,3,7.1,0.418,1.6,2.5,0.623,3,6.4,9.5,0.7,0.5,4,1.7,4.2,7.5
9,7,1,82,2914,2.3,5,0.462,0,0,-1,2.3,5,0.462,1.6,2.5,0.66,2.8,7.6,10.4,1,0.5,3.9,1.8,3.6,6.3
9,8,1,82,2281,2.5,4.7,0.527,0,0,-1,2.5,4.7,0.527,1.2,1.9,0.669,2.7,6.8,9.5,0.6,0.5,3.2,1.2,3.8,6.2
9,9,1,80,2580,2.4,4.1,0.579,0,0,-1,2.4,4.1,0.579,1,1.6,0.634,2.5,6.8,9.3,0.7,0.5,2.6,1.4,4.2,5.7
9,10,1,81,2023,1.9,4.3,0.446,0,0,-1,1.9,4.3,0.446,0.9,1.5,0.598,2.7,6.1,8.7,0.7,0.6,3.6,1.1,4.3,4.7
9,11,1,64,1104,2.3,4.2,0.546,0,0,-1,2.3,4.2,0.546,1.1,1.6,0.7,2.4,6.2,8.6,0.6,0.6,2.6,1.4,4.7,5.8
10,1,1,17,32,6.8,15.8,0.429,0,0,-1,6.8,15.8,0.429,1.1,4.5,0.25,2.3,1.1,3.4,3.4,0,4.5,3.4,6.8,14.6
10,2,1,2,54,7.3,14,0.524,0,0.7,0,7.3,13.3,0.55,3.3,6,0.556,4,6.7,10.7,0.7,0.7,0.7,2,4.7,18
11,1,1,34,277,4,11,0.365,-1,-1,-1,4,11,0.365,2.2,2.7,0.81,2.3,3.8,6.1,2.1,1.7,0.1,-1,4.3,10.3
11,2,1,81,2066,4.9,11.9,0.414,-1,-1,-1,4.9,11.9,0.414,3.3,4,0.834,2.4,4.4,6.8,1.4,1.5,0.3,-1,4.4,13.2
11,3,1,68,1219,5.3,11.2,0.476,-1,-1,-1,5.3,11.2,0.476,3.2,4.1,0.79,2.2,4.3,6.5,1.5,1.3,0.4,-1,5.8,13.9
11,4,1,37,576,4.4,10,0.444,-1,-1,-1,4.4,10,0.444,2.6,3.8,0.672,2.3,4.1,6.4,1.6,0.8,0.2,1.4,4,11.4
12,1,0,40,529,7,14.4,0.488,0,0.1,0,7,14.3,0.49,2.9,5.7,0.512,5.4,6.6,12,1.3,1.1,2.2,2.4,4.6,16.9
13,1,1,4,13,5.5,24.9,0.222,0,0,-1,5.5,24.9,0.222,0,0,-1,0,2.8,2.8,0,0,0,0,8.3,11.1
14,1,1,64,-1,-1,-1,0.366,-1,-1,-1,-1,-1,0.366,-1,-1,0.623,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,2,1,68,-1,-1,-1,0.355,-1,-1,-1,-1,-1,0.355,-1,-1,0.699,-1,-1,-1,-1,-1,-1,-1,-1,-1
